movieId,title,disptitle,year,Fantasy,Mystery,Crime,War,Action,Romance,Children,Thriller,Horror,Documentary,IMAX,Film-Noir,Animation,Drama,Adventure,(no genres listed),Sci-Fi,Musical,Western,Comedy
1,Toy Story,Toy Story (1995),27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2,Jumanji,Jumanji (1995),27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Grumpier Old Men,Grumpier Old Men (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Waiting to Exhale,Waiting to Exhale (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,Father of the Bride Part II,Father of the Bride Part II (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Heat,Heat (1995),27,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Sabrina,Sabrina (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Tom and Huck,Tom and Huck (1995),27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Sudden Death,Sudden Death (1995),27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye,GoldenEye (1995),27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,"American President, The","American President, The (1995)",27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,Dracula: Dead and Loving It,Dracula: Dead and Loving It (1995),27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,Balto,Balto (1995),27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
14,Nixon,Nixon (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,Cutthroat Island,Cutthroat Island (1995),27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,Casino,Casino (1995),27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Sense and Sensibility,Sense and Sensibility (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Four Rooms,Four Rooms (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Money Train,Money Train (1995),27,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
21,Get Shorty,Get Shorty (1995),27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,Copycat,Copycat (1995),27,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
23,Assassins,Assassins (1995),27,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Powder,Powder (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,Leaving Las Vegas,Leaving Las Vegas (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Othello,Othello (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,Now and Then,Now and Then (1995),27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Persuasion,Persuasion (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,"City of Lost Children, The Cité des enfants perdus, La","City of Lost Children, The (Cité des enfants perdus, La) (1995)",27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
30,Shanghai Triad Yao a yao yao dao waipo qiao,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Dangerous Minds,Dangerous Minds (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Twelve Monkeys a.k.a. 12 Monkeys,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,Babe,Babe (1995),27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Dead Man Walking,Dead Man Walking (1995),27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,It Takes Two,It Takes Two (1995),27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Clueless,Clueless (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,"Cry, the Beloved Country","Cry, the Beloved Country (1995)",27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,Richard III,Richard III (1995),27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Dead Presidents,Dead Presidents (1995),27,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,Restoration,Restoration (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Mortal Kombat,Mortal Kombat (1995),27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,To Die For,To Die For (1995),27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
46,How to Make an American Quilt,How to Make an American Quilt (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Seven a.k.a. Se7en,Seven (a.k.a. Se7en) (1995),27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Pocahontas,Pocahontas (1995),27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
49,When Night Is Falling,When Night Is Falling (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,"Usual Suspects, The","Usual Suspects, The (1995)",27,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Mighty Aphrodite,Mighty Aphrodite (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,Lamerica,Lamerica (1994),28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
54,"Big Green, The","Big Green, The (1995)",27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Georgia,Georgia (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,Home for the Holidays,Home for the Holidays (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,"Postman, The Postino, Il","Postman, The (Postino, Il) (1994)",28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
60,"Indian in the Cupboard, The","Indian in the Cupboard, The (1995)",27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
61,Eye for an Eye,Eye for an Eye (1996),26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
62,Mr. Holland's Opus,Mr. Holland's Opus (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Two if by Sea,Two if by Sea (1996),26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Bio-Dome,Bio-Dome (1996),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace (1996),26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
68,French Twist Gazon maudit,French Twist (Gazon maudit) (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Friday,Friday (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,From Dusk Till Dawn,From Dusk Till Dawn (1996),26,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
71,Fair Game,Fair Game (1995),27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Kicking and Screaming,Kicking and Screaming (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,"Misérables, Les","Misérables, Les (1995)",27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,Bed of Roses,Bed of Roses (1996),26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,Big Bully,Big Bully (1996),26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
76,Screamers,Screamers (1995),27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
77,Nico Icon,Nico Icon (1995),27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,"Crossing Guard, The","Crossing Guard, The (1995)",27,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79,"Juror, The","Juror, The (1996)",26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80,"White Balloon, The Badkonake sefid","White Balloon, The (Badkonake sefid) (1995)",27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
81,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead (1995),27,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Antonia's Line Antonia,Antonia's Line (Antonia) (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
83,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,Angels and Insects,Angels and Insects (1995),27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,White Squall,White Squall (1996),26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
87,Dunston Checks In,Dunston Checks In (1996),26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Black Sheep,Black Sheep (1996),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Nick of Time,Nick of Time (1995),27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Mary Reilly,Mary Reilly (1996),26,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
93,Vampire in Brooklyn,Vampire in Brooklyn (1995),27,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,Beautiful Girls,Beautiful Girls (1996),26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
95,Broken Arrow,Broken Arrow (1996),26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
96,In the Bleak Midwinter,In the Bleak Midwinter (1995),27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
97,"Hate Haine, La","Hate (Haine, La) (1995)",27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam (1995),27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,City Hall,City Hall (1996),26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
101,Bottle Rocket,Bottle Rocket (1996),26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,Mr. Wrong,Mr. Wrong (1996),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Unforgettable,Unforgettable (1996),26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
104,Happy Gilmore,Happy Gilmore (1996),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,"Bridges of Madison County, The","Bridges of Madison County, The (1995)",27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,Nobody Loves Me Keiner liebt mich,Nobody Loves Me (Keiner liebt mich) (1994),28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
107,Muppet Treasure Island,Muppet Treasure Island (1996),26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
108,Catwalk,Catwalk (1996),26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,Braveheart,Braveheart (1995),27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,Taxi Driver,Taxi Driver (1976),46,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,Rumble in the Bronx Hont faan kui,Rumble in the Bronx (Hont faan kui) (1995),27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
